# FieldId Time[UTC] deltaT[sec] RA Dec
10766 2021-09-01T19:10:38.236 2719.152 110.76923 16.23506
04924 2021-09-01T19:55:57.388 305.79 90.85715 -24.68511
04308 2021-09-01T20:01:03.178 117.221 88.65672 -29.40667
04109 2021-09-01T20:03:00.399 1007.96 87.27273 -30.98052
02473 2021-09-01T20:19:48.359 112.769 75.73171 -45.14520
02312 2021-09-01T20:21:41.128 101.907 74.25000 -46.71905
02155 2021-09-01T20:23:23.035 382.749 73.16129 -48.29290
01713 2021-09-01T20:29:45.784 267.793 66.38298 -53.01446
01443 2021-09-01T20:34:13.577 291.176 60.92308 -56.16217
01194 2021-09-01T20:39:04.753 188.621 54.00000 -59.30987
01076 2021-09-01T20:42:13.374 184.958 48.52174 -60.88372
00965 2021-09-01T20:45:18.332 192.376 42.93578 -62.45758
00859 2021-09-01T20:48:30.708 295.438 36.69903 -64.03143
00758 2021-09-01T20:53:26.146 89.762 25.71428 -65.60529
00757 2021-09-01T20:54:55.908 90.512 22.04082 -65.60529
00756 2021-09-01T20:56:26.420 90.953 18.36735 -65.60529
00755 2021-09-01T20:57:57.373 91.083 14.69388 -65.60529
00754 2021-09-01T20:59:28.456 90.898 11.02041 -65.60529
00753 2021-09-01T21:00:59.354 90.401 7.34694 -65.60529
00752 2021-09-01T21:02:29.755 89.596 3.67347 -65.60529
00751 2021-09-01T21:03:59.351 240.386 0.00000 -65.60529
00949 2021-09-01T21:07:59.737 230.237 351.26212 -64.03143
01056 2021-09-01T21:11:49.974 218.939 343.48624 -62.45758
01168 2021-09-01T21:15:28.913 140.407 336.52173 -60.88372
01287 2021-09-01T21:17:49.320 595.04 333.00000 -59.30987
01812 2021-09-01T21:27:44.360 705.319 319.14893 -53.01446
02747 2021-09-01T21:39:29.679 5392.432 308.57141 -43.57134
13522 2021-09-01T23:09:22.111 108.415 264.19354 36.69514
13705 2021-09-01T23:11:10.526 109.001 263.07693 38.26900
13883 2021-09-01T23:12:59.527 109.599 261.91010 39.84285
14058 2021-09-01T23:14:49.126 221.026 260.68964 41.41670
14395 2021-09-01T23:18:30.152 126.965 258.07230 44.56441
