FieldId date-obs deltaT[sec] RA Dec
754 59458.69847649305 90.951 11.02041 -65.60529
753 59458.69952916667 90.513 7.34694 -65.60529
752 59458.70057677083 329.819 3.67347 -65.60529
949 59458.704394120374 230.182 351.26212 -64.03143
1056 59458.70705826389 219.126 343.48624 -62.45758
1168 59458.709594444445 44.986 336.52173 -60.88372
12756 59458.71011511574 95.195 266.83417 30.39973
1287 59458.71121690972 0.113 333.0 -59.30987
12953 59458.71121821759 466.472 266.32654 31.97359
1672 59458.716617199076 99.401 321.61761 -54.58831
13882 59458.71776767361 29.371 259.88763 39.84285
1812 59458.71810761574 81.305 319.14893 -53.01446
14057 59458.719048645835 45.499 258.62067 41.4167
1956 59458.71957525463 65.819 316.8493 -51.44061
14227 59458.72033704861 111.973 257.29416 42.99055
14394 59458.72163303241 242.862 255.90361 44.56441
14713 59458.724443935185 157.577 252.22929 47.71211
2747 59458.726267743055 118.679 308.57141 -43.57134
2918 59458.72764134259 65.617 306.9364 -41.99749
15156 59458.72840079861 59.275 247.18311 52.43367
3094 59458.729086851854 78.588 305.08475 -40.42364
15294 59458.729996435184 140.679 244.37956 54.00752
15426 59458.73162466435 143.607 241.36363 55.58138
15554 59458.73328678241 146.611 238.11024 57.15523
15676 59458.73498366898 149.631 234.59016 58.72908
15794 59458.73671550926 182.029 230.76924 60.30293
15905 59458.73882232639 1758.293 225.40541 61.8768
15885 59458.75917293981 214.703 160.54054 61.8768
15769 59458.76165792824 274.26 153.84616 60.30293
15522 59458.7648322338 167.364 147.40158 57.15523
15390 59458.76676931713 97.911 143.18181 55.58138
15255 59458.76790254629 160.761 141.89781 54.00752
15113 59458.769763206015 250.737 138.16902 52.43367
14816 59458.772665254626 94.409 133.81578 49.28596
14661 59458.77375795139 129.448 132.99362 47.71211
14500 59458.77525619213 220.644 130.80745 46.13826
14166 59458.77780994213 125.798 128.11766 42.99055
13993 59458.7792659375 124.395 126.20689 41.4167
13815 59458.780705694444 197.498 124.38203 39.84285
13449 59458.78299155093 192.994 122.90322 36.69514
12953 59458.78522527778 34.377 266.32654 31.97359
13068 59458.785623159725 60.993 120.31087 33.54744
13146 59458.786329097224 44.21 265.8031 33.54744
12873 59458.786840787034 63.452 119.38775 31.97359
13336 59458.78757518518 41.495 264.7619 35.12129
12674 59458.78805545139 549.137 118.49246 30.39973
11637 59458.7944112037 90.097 113.23943 22.53047
11422 59458.79545399306 16.097 113.02325 20.95662
14394 59458.79564030092 204.915 255.90361 44.56441
10986 59458.79801200231 89.999 110.9589 17.80891
10766 59458.79905365741 154.57 110.76923 16.23506
