field        ra       dec   eclip_l   eclip_b   galac_l   galac_b
00000 testfield testfield testfield testfield testfield testfield
00303  97.14286 -75.04840 257.84842 -81.20634 286.09158 -27.60789
00304 102.85715 -75.04840 249.46708 -80.56287 286.22978 -26.13932
00305 108.57143 -75.04840 242.77980 -79.63852 286.51945 -24.68900
00306 114.28572 -75.04840 237.78464 -78.50793 286.95311 -23.26953
00307 120.00000 -75.04840 234.24940 -77.23446 287.52303 -21.89294
00308 125.71429 -75.04840 231.88957 -75.86648 288.22120 -20.57067
00309 131.42857 -75.04840 230.44950 -74.43961 289.03942 -19.31356
00310 137.14285 -75.04840 229.72420 -72.97999 289.96921 -18.13184
00311 142.85715 -75.04840 229.55670 -71.50718 291.00183 -17.03505
00312 148.57143 -75.04840 229.82878 -70.03621 292.12821 -16.03208
00313 154.28572 -75.04840 230.45150 -68.57901 293.33895 -15.13107
00314 160.00000 -75.04840 231.35759 -67.14539 294.62425 -14.33937
00315 165.71429 -75.04840 232.49568 -65.74358 295.97395 -13.66345
00316 171.42857 -75.04840 233.82606 -64.38073 297.37750 -13.10890
00317 177.14287 -75.04840 235.31764 -63.06318 298.82403 -12.68033
00318 182.85715 -75.04840 236.94575 -61.79660 300.30232 -12.38130
00319 188.57143 -75.04840 238.69055 -60.58617 301.80095 -12.21433
00320 194.28572 -75.04840 240.53583 -59.43665 303.30834 -12.18082
00321 200.00000 -75.04840 242.46814 -58.35242 304.81281 -12.28106
00322 205.71429 -75.04840 244.47617 -57.33754 306.30273 -12.51419
00323 211.42857 -75.04840 246.55020 -56.39576 307.76658 -12.87827
00324 217.14287 -75.04840 248.68178 -55.53055 309.19304 -13.37024
00325 222.85715 -75.04840 250.86341 -54.74507 310.57105 -13.98601
00326 228.57144 -75.04840 253.08833 -54.04219 311.88990 -14.72049
00327 234.28572 -75.04840 255.35035 -53.42448 313.13922 -15.56762
00328 240.00000 -75.04840 257.64370 -52.89421 314.30905 -16.52049
00329 245.71429 -75.04840 259.96296 -52.45333 315.38978 -17.57136
00330 251.42857 -75.04840 262.30292 -52.10346 316.37218 -18.71170
00331 257.14285 -75.04840 264.65855 -51.84590 317.24735 -19.93229
00332 262.85715 -75.04840 267.02498 -51.68161 318.00669 -21.22325
00333 268.57144 -75.04840 269.39736 -51.61120 318.64185 -22.57402
00334 274.28571 -75.04840 271.77093 -51.63492 319.14474 -23.97348
00335 280.00000 -75.04840 274.14093 -51.75270 319.50747 -25.40990
00336 285.71429 -75.04840 276.50255 -51.96409 319.72244 -26.87094
00337 291.42859 -75.04840 278.85094 -52.26832 319.78236 -28.34372
00338 297.14285 -75.04840 281.18114 -52.66425 319.68038 -29.81475
00339 302.85715 -75.04840 283.48808 -53.15042 319.41029 -31.27001
00340 308.57144 -75.04840 285.76641 -53.72504 318.96679 -32.69493
00341 314.28574 -75.04840 288.01056 -54.38601 318.34586 -34.07447
00342 320.00000 -75.04840 290.21453 -55.13090 317.54520 -35.39317
00343 325.71429 -75.04840 292.37190 -55.95698 316.56477 -36.63536
00344 331.42859 -75.04840 294.47556 -56.86125 315.40741 -37.78531
00345 337.14285 -75.04840 296.51752 -57.84037 314.07947 -38.82748
00346 342.85715 -75.04840 298.48877 -58.89077 312.59134 -39.74693
00347 348.57144 -75.04840 300.37882 -60.00851 310.95793 -40.52968
00348 354.28574 -75.04840 302.17535 -61.18939 309.19886 -41.16318
00349   2.60870 -73.47455 307.55170 -62.22113 306.92247 -43.33457
00350   7.82609 -73.47455 309.16428 -63.50972 304.90602 -43.57645
00351  13.04348 -73.47455 310.66304 -64.84205 302.85959 -43.65360
00352  18.26087 -73.47455 312.02788 -66.21379 300.81426 -43.56475
00353  23.47826 -73.47455 313.23325 -67.62018 298.80107 -43.31137
00354  28.69565 -73.47455 314.24618 -69.05595 296.84967 -42.89758
00355  33.91304 -73.47455 315.02351 -70.51506 294.98710 -42.32995
00356  39.13044 -73.47455 315.50782 -71.99048 293.23690 -41.61718
00357  44.34783 -73.47455 315.62154 -73.47369 291.61858 -40.76975
00358  49.56522 -73.47455 315.25834 -74.95400 290.14732 -39.79946
00359  54.78261 -73.47455 314.27061 -76.41741 288.83414 -38.71907
00360  60.00000 -73.47455 312.45220 -77.84482 287.68621 -37.54191
00361  65.21739 -73.47455 309.51740 -79.20920 286.70733 -36.28156
00362  70.43478 -73.47455 305.08561 -80.47115 285.89847 -34.95165
00363  75.65218 -73.47455 298.70570 -81.57319 285.25837 -33.56560
00364  80.86957 -73.47455 290.00523 -82.43535 284.78404 -32.13654
00365  86.08696 -73.47455 279.06764 -82.96161 284.47119 -30.67720
00366  91.30435 -73.47455 266.87617 -83.07089 284.31466 -29.19984
00367  96.52174 -73.47455 255.13400 -82.74355 284.30868 -27.71628
00368 101.73914 -73.47455 245.26815 -82.03538 284.44707 -26.23784
00369 106.95653 -73.47455 237.77059 -81.04062 284.72346 -24.77539
00370 112.17392 -73.47455 232.43269 -79.84924 285.13132 -23.33933
00371 117.39131 -73.47455 228.81098 -78.52965 285.66407 -21.93960
00372 122.60870 -73.47455 226.48190 -77.12942 286.31505 -20.58573
00373 127.82609 -73.47455 225.11352 -75.68107 287.07752 -19.28680
00374 133.04347 -73.47455 224.46302 -74.20717 287.94467 -18.05144
00375 138.26086 -73.47455 224.35631 -72.72394 288.90953 -16.88784
00376 143.47826 -73.47455 224.66849 -71.24355 289.96496 -15.80372
00377 148.69565 -73.47455 225.30907 -69.77548 291.10360 -14.80629
00378 153.91304 -73.47455 226.21153 -68.32742 292.31781 -13.90224
00379 159.13043 -73.47455 227.32628 -66.90587 293.59968 -13.09765
00380 164.34782 -73.47455 228.61571 -65.51643 294.94099 -12.39801
00381 169.56522 -73.47455 230.05092 -64.16409 296.33320 -11.80811
00382 174.78261 -73.47455 231.60930 -62.85340 297.76746 -11.33205
00383 180.00000 -73.47455 233.27294 -61.58850 299.23467 -10.97313
