# FieldId Time[UTC] deltaT[sec] RA Dec
14661 2021-09-02T08:21:15.888 223.392 132.99362 47.71211
14336 2021-09-02T08:24:59.280 126.469 130.12048 44.56441
14166 2021-09-02T08:27:05.749 325.088 128.11766 42.99055
13635 2021-09-02T08:32:30.837 122.325 124.61539 38.26900
13449 2021-09-02T08:34:33.162 106.201 122.90322 36.69514
13261 2021-09-02T08:36:19.363 839.534 121.90476 35.12129
11638 2021-09-02T08:50:18.897 91.205 114.92958 22.53047
11423 2021-09-02T08:51:50.102 221.083 114.69768 20.95662
10987 2021-09-02T08:55:31.185 91.098 112.60274 17.80891
10767 2021-09-02T08:57:02.283 2790.037 112.39819 16.23506
04717 2021-09-02T09:43:32.320 419.96 93.04348 -26.25896
03914 2021-09-02T09:50:32.280 763.568 89.53847 -32.55437
02641 2021-09-02T10:03:15.848 109.802 81.42857 -43.57134
02475 2021-09-02T10:05:05.650 110.387 80.12196 -45.14520
02314 2021-09-02T10:06:56.037 99.499 78.75000 -46.71905
02157 2021-09-02T10:08:35.536 370.943 77.80645 -48.29290
01715 2021-09-02T10:14:46.479 257.343 71.48936 -53.01446
01445 2021-09-02T10:19:03.822 280.098 66.46154 -56.16217
01196 2021-09-02T10:23:43.920 280.61 60.00000 -59.30987
00968 2021-09-02T10:28:24.530 179.708 52.84404 -62.45758
00862 2021-09-02T10:31:24.238 196.907 47.18447 -64.03143
00762 2021-09-02T10:34:41.145 84.758 40.40816 -65.60529
00761 2021-09-02T10:36:05.903 286.29 36.73469 -65.60529
00665 2021-09-02T10:40:52.193 90.302 25.43478 -67.17914
00664 2021-09-02T10:42:22.495 90.883 21.52174 -67.17914
00663 2021-09-02T10:43:53.378 91.106 17.60870 -67.17914
00662 2021-09-02T10:45:24.484 90.964 13.69565 -67.17914
00661 2021-09-02T10:46:55.448 90.461 9.78261 -67.17914
00660 2021-09-02T10:48:25.909 89.601 5.86957 -67.17914
00659 2021-09-02T10:49:55.510 241.05 1.95652 -67.17914
00847 2021-09-02T10:53:56.560 233.786 352.65305 -65.60529
00947 2021-09-02T10:57:50.346 219.457 344.27182 -64.03143
01054 2021-09-02T11:01:29.803 136.099 336.88074 -62.45758
01167 2021-09-02T11:03:45.902 138.407 333.39130 -60.88372
01286 2021-09-02T11:06:04.309 135.922 330.00000 -59.30987
01409 2021-09-02T11:08:20.231 133.484 326.88000 -57.73602
01538 2021-09-02T11:10:33.715 124.536 324.00000 -56.16217
01672 2021-09-02T11:12:38.251 128.732 321.61761 -54.58831
01812 2021-09-02T11:14:46.983 126.654 319.14893 -53.01446
01956 2021-09-02T11:16:53.637 131.617 316.84930 -51.44061
02105 2021-09-02T11:19:05.254 122.888 314.40002 -49.86675
02258 2021-09-02T11:21:08.142 324.323 312.38708 -48.29290
02747 2021-09-02T11:26:32.465 118.193 308.57141 -43.57134
02918 2021-09-02T11:28:30.658 200.81 306.93640 -41.99749
